SampleID	Locus	Reads	OutputDada2	OutputPostprocessing
DC3-1_S43_L001	Pf3D7_07_v3-405334-405576-1B	0	0	0
DC3-1_S43_L001	Pf3D7_07_v3-405570-405844-1B	44	43	43
DC3-1_S43_L001	Pf3D7_07_v3-896613-896849-1B	49	48	48
DC3-1_S43_L001	Pf3D7_08_v3-549583-549807-1B	142	136	136
DC3-1_S43_L001	Pf3D7_08_v3-549960-550215-1B	59	57	57
DC3-1_S43_L001	Pf3D7_10_v3-490605-490877-1B	0	0	0
DC3-1_S43_L001	Pf3D7_12_v3-2092529-2092798-1B	71	71	71
DC3-1_S43_L001	Pf3D7_13_v3-748254-748510-1B	36	35	35
DC3-1_S43_L001	Pf3D7_13_v3-958247-958510-1B	49	47	47
DC3-1_S43_L001	Pf3D7_13_v3-1724895-1725166-1B	37	36	36
DC3-1_S43_L001	Pf3D7_13_v3-1725208-1725471-1B	65	63	63
DC3-1_S43_L001	Pf3D7_13_v3-1725464-1725719-1B	41	40	40
DC3-1_S43_L001	Pf3D7_13_v3-1725713-1725955-1B	0	0	0
DC3-1_S43_L001	Pf3D7_13_v3-1726057-1726304-1B	0	0	0
DC3-1_S43_L001	Pf3D7_13_v3-1726723-1726995-1B	0	0	0
DC3-1_S43_L001	Pf3D7_13_v3-2504481-2504734-1B	44	43	43
DC3-1_S43_L001	Pf3D7_14_v3-283350-283576-1B	0	0	0
DC3-1_S43_L001	Pf3D7_14_v3-283973-284211-1B	0	0	0
DC3-1_S43_L001	Pf3D7_14_v3-288429-288696-1B	0	0	0
DC3-1_S43_L001	Pf3D7_14_v3-289301-289550-1B	0	0	0
DC3-1_S43_L001	Pf3D7_14_v3-293575-293829-1B	23	23	23
DC3-1_S43_L001	Pf3D7_14_v3-294506-294753-1B	124	122	122
DC3-1_S43_L001	Pf3D7_14_v3-297583-297856-1B	35	33	33
DC3-1_S43_L001	Pf3D7_14_v3-297935-298162-1B	0	0	0
DC3-1_S43_L001	Pf3D7_14_v3-298368-298636-1B	27	27	27
DC3-1_S43_L001	Pf3D7_14_v3-1954850-1955124-1B	0	0	0
DC3-1_S43_L001	Pf3D7_14_v3-1956056-1956330-1B	54	53	53
DC3-1_S43_L001	Pf3D7_14_v3-1956365-1956639-1B	0	0	0
DC3-1_S43_L001	Pf3D7_14_v3-1957218-1957480-1B	0	0	0
DC3-1_S43_L001	Pf3D7_14_v3-2481033-2481276-1B	57	56	56
DC3-1_S43_L001	Pf3D7_02_v3-320652-320949-2	2786	2749	0
DC3-1_S43_L001	Pf3D7_03_v3-240957-241256-2	2983	2702	0
